position,title,platform,difficulty,topic,pattern,problem_url,editorial_url
1,Two Sum,LeetCode,Easy,Arrays,HashMap,https://leetcode.com/problems/two-sum/,
2,Contains Duplicate,LeetCode,Easy,Arrays,HashSet,https://leetcode.com/problems/contains-duplicate/,
3,Valid Anagram,LeetCode,Easy,Strings,HashMap,https://leetcode.com/problems/valid-anagram/,
4,Majority Element,LeetCode,Easy,Arrays,Boyer-Moore,https://leetcode.com/problems/majority-element/,
5,Best Time to Buy and Sell Stock,LeetCode,Easy,Arrays,Greedy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
6,Maximum Subarray,LeetCode,Medium,Arrays,Kadane,https://leetcode.com/problems/maximum-subarray/,
7,Product of Array Except Self,LeetCode,Medium,Arrays,Prefix Product,https://leetcode.com/problems/product-of-array-except-self/,
8,3Sum,LeetCode,Medium,Arrays,Two Pointers,https://leetcode.com/problems/3sum/,
9,Container With Most Water,LeetCode,Medium,Arrays,Two Pointers,https://leetcode.com/problems/container-with-most-water/,
10,Longest Substring Without Repeating Characters,LeetCode,Medium,Strings,Sliding Window,https://leetcode.com/problems/longest-substring-without-repeating-characters/,
11,Minimum Window Substring,LeetCode,Hard,Strings,Sliding Window,https://leetcode.com/problems/minimum-window-substring/,
12,Binary Search,LeetCode,Easy,Binary Search,Binary Search,https://leetcode.com/problems/binary-search/,
13,Search in Rotated Sorted Array,LeetCode,Medium,Binary Search,Binary Search,https://leetcode.com/problems/search-in-rotated-sorted-array/,
14,Koko Eating Bananas,LeetCode,Medium,Binary Search,Binary Search on Answer,https://leetcode.com/problems/koko-eating-bananas/,
15,Merge Intervals,LeetCode,Medium,Intervals,Sorting,https://leetcode.com/problems/merge-intervals/,
16,Reverse Linked List,LeetCode,Easy,Linked List,Pointer Manipulation,https://leetcode.com/problems/reverse-linked-list/,
17,Linked List Cycle,LeetCode,Easy,Linked List,Fast Slow Pointers,https://leetcode.com/problems/linked-list-cycle/,
18,Valid Parentheses,LeetCode,Easy,Stack,Stack,https://leetcode.com/problems/valid-parentheses/,
19,Daily Temperatures,LeetCode,Medium,Stack,Monotonic Stack,https://leetcode.com/problems/daily-temperatures/,
20,Largest Rectangle in Histogram,LeetCode,Hard,Stack,Monotonic Stack,https://leetcode.com/problems/largest-rectangle-in-histogram/,
21,Maximum Depth of Binary Tree,LeetCode,Easy,Trees,DFS,https://leetcode.com/problems/maximum-depth-of-binary-tree/,
22,Diameter of Binary Tree,LeetCode,Easy,Trees,Tree DP,https://leetcode.com/problems/diameter-of-binary-tree/,
23,Lowest Common Ancestor of a Binary Tree,LeetCode,Medium,Trees,DFS,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,
24,Number of Islands,LeetCode,Medium,Graphs,BFS DFS,https://leetcode.com/problems/number-of-islands/,
25,Course Schedule,LeetCode,Medium,Graphs,Topological Sort,https://leetcode.com/problems/course-schedule/,
26,Network Delay Time,LeetCode,Medium,Graphs,Dijkstra,https://leetcode.com/problems/network-delay-time/,
27,Climbing Stairs,LeetCode,Easy,DP,1D DP,https://leetcode.com/problems/climbing-stairs/,
28,House Robber,LeetCode,Medium,DP,1D DP,https://leetcode.com/problems/house-robber/,
29,Coin Change,LeetCode,Medium,DP,Unbounded Knapsack,https://leetcode.com/problems/coin-change/,
30,Longest Common Subsequence,LeetCode,Medium,DP,2D DP,https://leetcode.com/problems/longest-common-subsequence/,
31,Longest Increasing Subsequence,LeetCode,Medium,DP,DP Binary Search,https://leetcode.com/problems/longest-increasing-subsequence/,
32,Edit Distance,LeetCode,Medium,DP,2D DP,https://leetcode.com/problems/edit-distance/,
33,Word Break,LeetCode,Medium,DP,DP HashSet,https://leetcode.com/problems/word-break/,
34,Implement Trie Prefix Tree,LeetCode,Medium,Trie,Trie,https://leetcode.com/problems/implement-trie-prefix-tree/,
35,Kth Largest Element in an Array,LeetCode,Medium,Heap,Heap Quickselect,https://leetcode.com/problems/kth-largest-element-in-an-array/,
